rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
5,Great pictures and recipes,Wonderful recipes in this magazine.,[],B00HLSSQKK,B00HLSSQKK,AE7Y5RLYIKHOZB5NKKOEKYG2SPSQ,2020-12-15 15:29:02.433,0,True
4,great for kids who love sports!,Great sports magazine that's on my 9 year olds level!,[],B002PXW04Y,B002PXW04Y,AHORTSSMI6ZZFUFWMPT4UFR2ISUQ,2016-08-12 03:28:32.000,1,True
5,"A great look at what's new on the kosher scene - recipes, cookbook reviews, lifestyle and more!","""Joy of Kosher"" magazine fills a much-needed niche for kosher recipes, cookbook reviews, and the kosher lifestyle not found in other mainstream magazines. Sporting beautifully-photographed covers and spreads that are equally at home next to powerhouse food and cooking magazines, ""Joy of Kosher"" (which merged with Bitayavon in 2012) is your source for all things kosher. Far beyond mere recipes, ""Joy of Kosher"" includes news on kosher restaurants, kosher wines, cookbooks, kitchen tools, holiday decorating tips, and articles on kosher travel. You'll read interviews with kosher chefs and entrepreneurs and spotlights on new kosher products. Kosher wines and wine pairings are given plenty of space; there are dozens of up-and-coming kosher wineries in Israel (over 70!) and many top-rated wines among them.<br /><br />More than just a cooking magazine (which it does very well), ""Joy of Kosher"" is a lifestyle magazine; sure, the emphasis is on kosher food and wine, but you'll also find articles on food and health, family outings/activities (such as the ""Apple Picking: the Ultimate Family Trip"" story from Fall 2013), and traditions. You'll also find articles that explore Jewish beliefs and their relationship to food. And the kosher recipes represent the culinary wealth of the Jewish Diaspora and beyond; you'll find  Italian caponata and herbed spaetzle rubbing elbows with whitefish shu mai dumplings, beef larb, or Moroccan-inspired tagines, along with upscale kosher dishes that mirror current trends. You'll see many articles and recipes from famous chefs in the kosher food world, including Jamie Geller (the ""Jewish Rachael Ray"" and author of two kosher cookbooks, including [[ASIN:0062207822 Joy of Kosher: Fast, Fresh Family Recipes]]), kosher pastry chef Paula Shoyer (author of [[ASIN:1454907142 The Holiday Kosher Baker: Traditional & Contemporary Holiday Desserts]]), and Chef Laura Frankel (author of my favorite ""[[ASIN:0470260890 Jewish Slow Cooker Recipes]]"").<br /><br />Most importantly, the recipes are completely approachable using ingredients that should be readily available at your supermarket. Each issue also includes a handy recipe and nutrition guide that features an alphabetical listing of all recipes along with calories, fiber, sodium, carbs, fat and protein; as I watch my fat and calorie intake, I appreciated having this information readily available as not many cooking magazines provide it on a consistent basis (if at all). Recent issues have also put a spotlight on gluten-free and other special diets and a special focus on seasonal foods.<br /><br />One thing you'll quickly notice is that advertising takes up a fair chunk of the magazine; in the Winter 2013 issue, I counted about 25 pages of full and half-page ads (some for other Joy of Kosher products) out of about 83 total. The colorful advertising in many cases blends in fairly seamlessly with the rest of the content.<br /><br />The Joy of Kosher website offers additional articles, recipes, (kosher) cookbook reviews and giveaways that have introduced me to some great new kosher cookbooks (and I was also lucky enough to win an [[ASIN:B0015FLBCA Emile Henry Flame Top 3.7 Quart Tagine, Red]] as part of their ""Best of Kosher 2013"" contest!). Whether you're looking for new ideas for quick and easy (or international-themed) kosher meals, decorating ideas, or kosher vacation rentals and getaways, you're sure to love ""Joy of Kosher""!",[],B00HCR5090,B00HCR5090,AFW2PDT3AMT4X3PYQG7FJZH5FXFA,2014-04-06 23:32:53.000,4,False
5,"If you enjoy reading an eye-catching, easy-to-follow cooking magazine with fresh updates on old favorites, this is for you.","I've been addicted to Martha Stewart's Everyday Food for several years, but until recently, I had been buying it by the issue instead of shelling out $30 for a year's subscription.<br /><br />I love the fact that Everyday Food takes everyday ingredients and makes them extraordinary. Example: in a recent issue, 10 different chicken recipes were given, along with a primer on chicken and a wine pairing guide. The included chicken recipes ranged from classics such as chicken tenders, BBQ chicken and chicken club salad to the more exotic Greek chicken cutlets (with feta, olives, tomato and mint) and Indian-spiced braised chicken (ginger, coriander, yogurt, garam masala).<br /><br />Another issue had a divine no-hassle dessert that tasted like a labor-intensive tiramisu: whipped ricotta, sugar, and instant espresso topped with crumbled cookies. Bonus: no raw eggs.<br /><br />Everyday Food also has an eye out for healthier foods, including a focus on whole grains. Another recent issue featured a delicious bulgur breakfast porridge and veggie burgers with tahini mayonnaise. In the back of each issue is an Everyday Pantry checklist perfect for ripping out and taking along to the store. There is also a nutritional guide provided (I liked it better when it was at the rear of each magazine rather than in the front next to the table of contents).<br /><br />In addition, Everyday Food frequently features articles on kitchen tools and appliances that are helpful for novice and experienced cooks alike.<br /><br />My main criticism is that for a slim magazine, roughly 40% consists of distracting print ads. Also, Everyday Food is on the expensive side at $35 for 10 issues. And I liked it better having the nutritional info listed at the back, rather than the front. But these are minor gripes.<br /><br />Compact and colorful, Everyday Food is a wonderful tool for any chef, particularly if you're short on time and you're looking for new ways to spice up your weeknight menus.",[],B0000ARXXS,B0000ARXXS,AFW2PDT3AMT4X3PYQG7FJZH5FXFA,2007-06-15 04:04:15.000,4,False
1,Too many “ gear ads” !!,Too many ads!,[],B0025ZOVEO,B0025ZOVEO,AFUB7CHTXRPD447QVQCHBZVN2IPQ,2020-06-01 21:24:40.246,13,True
2,Not for me,"I was so excited about this magazine but didn't find it that good - a lot of the information was repeated in other magazines. Instead, I've gone with People magazine.",[],B002WWMCAA,B002WWMCAA,AFPHKIJFGIU4G4POXRFCEF5RJJHA,2015-03-31 02:03:15.000,0,True
5,Loving it!,I've renewed this magazine for my mom and she LOVES it!,[],B001THPA4Y,B001THPA4Y,AFPHKIJFGIU4G4POXRFCEF5RJJHA,2015-03-31 02:02:22.000,0,True
5,Giftfor mom. She loves it.,It took two months before she got her first magazine. She does look forward to getting it. She loves to get mail,[],B00005R8BR,B00005R8BR,AGRUKTHXESHTPHHK4GQYQNRFZP3A,2023-01-14 22:00:58.264,0,True
5,I like the crossword puzzles,I have been reading digitally for years but decided to switch to print so I could do the crosswords and save the issues.,[],B002PXVZ5O,B002PXVZ5O,AEYVXZF5TQB7IGLLS3HJTDWLSKJQ,2021-11-02 16:31:28.031,0,True
5,Short Historical Articles on All Kinds of Handwork--With Projects Using Historical Techniques,"For many years, I have subscribed to PIECEWORK magazine, because I love reading articles about the history of beautiful handmade items (whether they're made by needlepoint, quilting, embroidery, knitting, crochet, bobbin lace, sewing, applique, beading, tatting, or some other technique).  From time to time I've thought about letting my subscription lapse (to save a little money and some storage space), but then I remember that PIECEWORK is the one magazine that I always look at and read, as soon as each new issue arrives.<br /><br />When PIECEWORK was first launched, it had more emphasis on historical textiles (many of museum quality) than it does at present.  Today, because the magazine has already published so many articles on historical textiles, the emphasis is more on using historical textiles as inspiration for modern projects.  But each issue still includes complete instructions for a few small projects that use the historical/ethnic designs or techniques described in the articles (e.g., a crocheted lace edging, an embroidered sampler, a knitted Peruvian hat, a small pieced quilt).<br /><br />In recent years, PIECEWORK has published annual ""lace"" and ""historical knitting"" issues, which have multiple articles dealing with those special topics.  I love the special issues, but I also enjoy the regular issues that include a variety of short articles on several different kinds of handwork--ranging from sewn aprons through beaded bags, the Bayeux Tapestry, embroidered pincushions, a silk wedding dress made from a WWII parachute, Coptic socks, nursery rhyme buttons, decorative braided landscapes, linens embellished with hardanger embroidery, or some other kind of handmade item, depending on the issue.  The short articles are illustrated with historical photos, and often accompanied by references for further reading.  In truth, I have never received a single issue of PIECEWORK that didn't contain at least one article that was well worth the price of the magazine.",[],B00006KSSX,B00006KSSX,AEYGPUCRKH7G4VM22FM3VAKSQ23Q,2013-03-08 01:57:42.000,8,False
